Sample	Site	Phase	Treatment	Timepoint	Incubation	Label	delta15N	atom_perc	atom_perc_ex	timesSD	medium_atom_perc_ex	N_ug	g_DW_ind	rate_ng_h	rate_nmol_h
Epiphytes	Ambient	Dark	Y	T2	18	Fix_C_D_T2_+Epi_a	8.962759796	0.369744495	0.00040295	2.122499585	15.00826713	1638.578461	0.020013	0	0
Epiphytes	Ambient	Dark	Y	T2	18	Fix_C_D_T2_+Epi_b	8.831325255	0.369696508	0.000354962	1.869730284	15.00826713	2147.161984	0.020774	0	0
Epiphytes	Ambient	Dark	Y	T2	18	Fix_C_D_T2_+Epi_c	9.562743427	0.369963552	0.000622006	3.276359405	15.00826713	1286.581177	0.019793	149.6639728	10.68517015
Epiphytes	Ambient	Dark	Y	T2	18	Fix_C_D_T2_+Epi_d	8.398895581	0.369538625	0.00019708	1.038098273	15.00826713	2056.92827	0.020458	0	0
Epiphytes	Ambient	Dark	Ctrl	T2	18	Fix_C_D_T2_C1	9.095197654	0.369792849	0.000451303	2.377198175	0.023769837	1452.390988	0.020441	0	0
Epiphytes	Ambient	Dark	Ctrl	T2	18	Fix_C_D_T2_C2	8.205255379	0.369467926	0.00012638	0.665696077	0.023769837	2744.835212	0.020291	0	0
Epiphytes	Ambient	Dark	Ctrl	T2	18	Fix_C_D_T2_C3	8.342709823	0.369518111	0.000176566	0.930043804	0.023769837	1547.41524	0.019315	0	0
Leaf	Vent	Start	Start	T0	0	Fix_A_+Epi_T0_a	3.999398449	0.367932314	NA	NA	NA	NA	NA	NA	NA
Leaf	Vent	Start	Start	T0	0	Fix_A_+Epi_T0_b	5.623099498	0.368525153	NA	NA	NA	NA	NA	NA	NA
Leaf	Vent	Start	Start	T0	0	Fix_A_+Epi_T0_c	6.069617286	0.368688183	NA	NA	NA	NA	NA	NA	NA
